,batsman,runs,balls,matches,mom,sixes,singles,fours,sr
0,YBK Jaiswal,547,410,28,1,22,133,62,133.41
1,JC Buttler,2832,1955,84,10,135,629,278,144.86
2,SV Samson,3526,2663,140,9,158,1048,279,132.41
3,D Padikkal,1260,1057,62,1,36,376,136,119.21
4,SO Hetmyer,831,577,56,1,52,210,55,144.02
5,R Ashwin,647,567,208,4,21,243,51,114.11
6,R Parag,522,434,52,1,22,176,40,120.28
7,TA Boult,53,49,92,5,2,17,2,108.16
8,OC McCoy,8,5,10,0,1,2,0,160.0
9,WP Saha,2427,1951,136,5,76,742,231,124.4
10,Shubman Gill,1900,1555,74,5,47,650,188,122.19
11,MS Wade,179,178,14,0,2,51,23,100.56
12,HH Pandya,1972,1406,118,8,111,544,146,140.26
13,DA Miller,2455,1838,98,5,113,777,169,133.57
14,V Kohli,6634,5266,248,14,219,2183,581,125.98
15,F du Plessis,3403,2676,118,7,109,1085,315,127.17
16,RM Patidar,404,297,14,1,21,121,30,136.03
17,GJ Maxwell,2320,1571,110,8,127,528,198,147.68
18,MK Lomror,267,214,22,0,13,97,15,124.77
19,KD Karthik,4377,3386,236,7,134,1356,426,129.27
20,Shahbaz Ahmed,279,253,30,0,11,95,18,110.28
21,PWH de Silva,39,50,22,2,1,13,4,78.0
22,HV Patel,230,189,84,4,13,70,15,121.69
23,JR Hazlewood,18,27,30,1,0,12,1,66.67
24,Q de Kock,2767,2113,102,6,106,757,277,130.95
25,KL Rahul,3895,2933,116,12,164,1202,327,132.8
26,M Vohra,1073,852,50,3,43,243,103,125.94
27,DJ Hooda,1237,970,96,1,56,419,77,127.53
28,MP Stoinis,1070,813,76,4,48,327,83,131.61
29,E Lewis,654,499,36,1,36,146,62,131.06
30,KH Pandya,1326,1003,114,5,50,363,121,132.2
31,PVD Chameera,43,32,12,0,3,7,3,134.38
32,PK Garg,251,224,20,1,9,94,15,112.05
33,Abhishek Sharma,667,511,30,1,25,182,64,130.53
34,RA Tripathi,1798,1312,68,4,68,486,176,137.04
35,AK Markram,527,400,10,0,23,195,37,131.75
36,N Pooran,912,630,42,0,65,224,52,144.76
37,Washington Sundar,318,278,50,1,9,105,26,114.39
38,R Shepherd,58,43,2,0,5,10,2,134.88
