,bowlers,balls,extras,wickets,catches,mom,matches
0,Mohammed Shami,2118,171,116,19,2,93
1,Yash Dayal,205,13,13,1,0,9
2,LH Ferguson,805,57,46,7,3,35
3,Rashid Khan,2232,103,119,28,9,92
4,HH Pandya,1103,82,53,56,8,107
5,R Sai Kishore,98,3,6,3,0,5
6,TA Boult,1860,110,99,27,5,78
7,M Prasidh Krishna,1231,122,54,10,0,51
8,YS Chahal,2940,175,172,24,6,131
9,OC McCoy,173,23,11,1,0,7
10,R Ashwin,4024,209,174,39,4,183
11,Mohammed Siraj,1402,126,61,21,2,65
12,JR Hazlewood,565,36,33,1,1,24
13,GJ Maxwell,803,27,31,46,8,110
14,Shahbaz Ahmed,341,17,13,13,0,29
15,HV Patel,1665,141,106,19,4,77
16,PWH de Silva,382,14,27,2,2,18
17,Mohsin Khan,206,17,14,1,1,9
18,PVD Chameera,278,27,11,2,0,12
19,KH Pandya,1725,95,65,31,5,98
20,Avesh Khan,868,66,51,6,2,38
21,Ravi Bishnoi,878,56,41,9,0,37
22,AS Joseph,240,16,14,2,1,12
23,LS Livingstone,150,6,6,12,1,23
24,Arshdeep Singh,803,83,46,6,0,37
25,K Rabada,1498,122,108,23,2,63
26,NT Ellis,108,9,5,1,0,5
27,Harpreet Brar,296,16,9,5,2,15
28,B Kumar,3384,246,165,29,5,146
29,Washington Sundar,928,26,35,9,1,51
30,Fazalhaq Farooqi,76,4,2,0,0,3
31,J Suchith,434,19,20,19,0,22
32,Umran Malik,388,40,25,3,2,17
33,R Shepherd,57,5,4,0,0,3
34,DR Sams,389,39,15,10,1,16
35,HR Shokeen,94,7,2,2,0,5
36,JJ Bumrah,2857,201,161,14,8,120
37,M Markande,365,17,17,5,0,20
38,RP Meredith,289,38,14,1,0,13
39,Ramandeep Singh,41,6,6,1,0,5
40,KK Ahmed,809,46,51,1,1,34
41,A Nortje,706,62,44,7,3,30
42,SN Thakur,1650,140,88,23,1,75
43,MR Marsh,407,22,24,8,2,29
44,Kuldeep Yadav,1219,50,64,12,5,59
45,AR Patel,2599,97,109,54,7,122
46,Mukesh Choudhary,291,19,16,3,1,13
47,Simarjeet Singh,113,14,4,1,0,6
48,MJ Santner,244,16,10,5,0,12
49,M Pathirana,48,15,2,1,0,2
50,MM Ali,564,14,29,15,1,44
51,PH Solanki,36,1,2,0,0,2
52,S Kaul,1238,66,63,8,0,55
53,MK Lomror,73,1,1,4,0,18
54,UT Yadav,2945,250,153,36,10,133
55,TG Southee,1226,92,55,23,1,52
56,SP Narine,3516,152,171,17,12,148
57,CV Varun,992,35,44,6,2,42
58,AD Russell,1484,100,99,24,12,98
59,N Rana,131,5,7,22,5,91
60,JO Holder,873,75,55,11,1,38
61,K Gowtham,486,22,19,14,0,28
62,MP Stoinis,675,47,35,16,4,67
63,R Sanjay Yadav,14,2,0,0,0,1
64,T Natarajan,793,61,43,4,0,35
65,Abhishek Sharma,161,10,7,6,1,36
66,R Dhawan,632,62,26,13,0,32
67,RD Chahar,1207,53,58,14,1,55
68,Lalit Yadav,194,4,8,15,0,19
69,A Badoni,12,1,2,9,0,13
70,M Jansen,241,23,10,4,1,10
71,K Kartikeya,78,1,5,0,0,4
72,DJ Bravo,3296,258,207,81,4,160
73,M Theekshana,212,8,12,0,0,9
74,C Sakariya,405,40,17,6,0,17
75,KR Sen,157,10,8,2,0,7
76,M Ashwin,873,50,35,7,0,42
77,KA Pollard,1586,123,81,106,14,189
78,PJ Cummins,995,109,48,9,2,42
79,VR Iyer,78,5,3,13,1,22
80,Kartik Tyagi,388,35,15,3,1,16
